Place of interest,Type of place,Place address,BiciPARK station,BiciPARK address,Distance from parking in mts
Servicio de Documentación y Biblioteca de la Asamblea de Madrid,Instalaciones accesibles NO municipales,Plaza Asamblea De Madrid 1,Bicipark Recuerdo,"Calle Hiedra, 26",10177.04
Oficina de Empleo Legazpi,Instalaciones accesibles NO municipales,Paseo Acacias 23,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10184.24
Colegio Público Parque Aluche,Instalaciones accesibles NO municipales,Calle Quero 47,Bicipark Orense,"Avenida General Perón, 27",10192.39
Museo del Ferrocarril de Madrid,Instalaciones accesibles NO municipales,Paseo Delicias 61,Bicipark Aviación,Parking Aviación Española,10200.74
Centro Concertado de Atención a las Adicciones (CCAD) Casa de Campo (Cruz Roja),Instalaciones accesibles NO municipales,Avenida Portugal,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10202.18
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Ciudad Lineal),Instalaciones accesibles NO municipales,Travesia Virgen De La Roca 25 Posterior,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10203.68
Oficina de Correos. Sucursal 58. Universidad Autónoma Cantoblanco,Instalaciones accesibles NO municipales,Calle Kant  Sin Número,Bicipark Orense,"Avenida General Perón, 27",10211.12
Biblioteca Pública Luis Martín Santos (Villa de Vallecas),Instalaciones accesibles NO municipales,Plaza Antonio Maria Segovia 2,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10219.09
Centro de día para mayores Saraiva,Instalaciones accesibles NO municipales,Calle Fundadores 10,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10222.68
Centro de Atención e Información de la Agencia de la Seguridad Social (CAISS) nº 13 Centro,Instalaciones accesibles NO municipales,Calle Cedaceros 11,Bicipark Aviación,Parking Aviación Española,10225.15
Colegio Mayor Chaminade,Instalaciones accesibles NO municipales,Paseo Juan Xxiii 9,Bicipark Aviación,Parking Aviación Española,10232.91
Parroquia Santísima Trinidad,Instalaciones accesibles NO municipales,Calle Martinez Villergas 8,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10235.66
Comisaría de Policía y Oficina de Tramitación DNI y Pasaporte (Latina),Instalaciones accesibles NO municipales,Avenida Poblados 51,Bicipark Salamanca,Pl. del Marqués de Salamanca,10240.15
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,Bicipark Montalban,"Calle de Montalbán, 5",10248.24
Biblioteca Pública Antonio Mingote (Latina),Instalaciones accesibles NO municipales,Calle Rafael Finat 51,Bicipark Almagro,"Calle Almagro, 11",10250.54
Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,Bicipark Aviación,Parking Aviación Española,10256.54
Club Deportivo Somontes,Instalaciones accesibles NO municipales,Carretera El Pardo 43,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10262.49
Escuela Infantil Pequeño Koala,Instalaciones accesibles NO municipales,Camino Viejo De Vicalvaro 20,Bicipark Orense,"Avenida General Perón, 27",10263.05
Museo Casa de la Moneda,Instalaciones accesibles NO municipales,Calle Doctor Esquerdo 36,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10264.87
Centro de Educación Especial El Despertar,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Almagro,"Calle Almagro, 11",10267.57
Residencia y centro de rehabilitación Duques de Lugo,Instalaciones accesibles NO municipales,Calle Adonis 1,Bicipark Almagro,"Calle Almagro, 11",10267.57
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,Bicipark Recoletos,"Paseo de Recoletos, 2",10269.3
Parroquia San Ireneo,Instalaciones accesibles NO municipales,Calle Carlota O'Neill 26,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10275.54
Museo de Mineralogía,Instalaciones accesibles NO municipales,Calle Francisco Tomas Y Valiente 7 Facultad De Ciencias - Departamento Geología Y Geoquímica,Bicipark Orense,"Avenida General Perón, 27",10287.64
Colegio Mayor Aquinas (Santo Tomás de Aquino),Instalaciones accesibles NO municipales,Calle Leonardo Prieto Castro 6,Bicipark Aviación,Parking Aviación Española,10288.79
Sala Alcalá 31,Instalaciones accesibles NO municipales,Calle Alcala 31,Bicipark Aviación,Parking Aviación Española,10292.22
Colegio Santa María la Blanca,Instalaciones accesibles NO municipales,Calle Monasterio De Oseira 17,Bicipark Montalban,"Calle de Montalbán, 5",10308.11
Comunidad de Madrid. Oficina de atención al ciudadano y oficina general de asistencia en materia de registro,Instalaciones accesibles NO municipales,Calle Gran Via 3,Bicipark Aviación,Parking Aviación Española,10310.07
Oficina de Correos. Sucursal 27. Calle Dobla,Instalaciones accesibles NO municipales,Calle Dobla 5,Bicipark Orense,"Avenida General Perón, 27",10310.63
Biblioteca del Congreso de los Diputados,Instalaciones accesibles NO municipales,Calle Floridablanca 1,Bicipark Aviación,Parking Aviación Española,10313.97
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10314.01
Oficina de Tramitación del DNI y Pasaporte (Puente de Vallecas),Instalaciones accesibles NO municipales,Calle Sierra Carbonera 35,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10315.07
Colegio Mayor Vedruna,Instalaciones accesibles NO municipales,Glorieta Presidente Garcia Moreno 2,Bicipark Aviación,Parking Aviación Española,10322.19
Museo Postal y Telegráfico,Instalaciones accesibles NO municipales,Calle Tapia De Casariego 6,Bicipark Montalban,"Calle de Montalbán, 5",10331.44
Escuela Infantil Pequeño Koala,Instalaciones accesibles NO municipales,Camino Viejo De Vicalvaro 20,Bicipark Recuerdo,"Calle Hiedra, 26",10331.71
Palacio de Cristal,Instalaciones accesibles NO municipales,Paseo Republica De Cuba 4,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10333.05
Oficina de Correos. Sucursal 92. Eroski Avenida Pablo Neruda,Instalaciones accesibles NO municipales,Avenida Pablo Neruda 91,Bicipark Recuerdo,"Calle Hiedra, 26",10337.3
Centro de Día Privado 'DomusVi Albufera',Instalaciones accesibles NO municipales,Calle Sierra De Alcubierre 8,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10337.46
Colegio Mayor Juan XXIII Roncalli,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 3,Bicipark Aviación,Parking Aviación Española,10338.95
Colegio Comunidad Infantil Villaverde,Instalaciones accesibles NO municipales,Calle Villastar 10,Bicipark Salamanca,Pl. del Marqués de Salamanca,10340.05
Sede QuedaT.com Arganzuela,Instalaciones accesibles NO municipales,Calle Juana Doña 7,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10340.17
Colegio Público de Educación Especial María Soriano,Instalaciones accesibles NO municipales,Avenida Peseta 30,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10344.22
Biblioteca del Instituto Nacional de la Administración Pública (INAP),Instalaciones accesibles NO municipales,Calle Atocha 106,Bicipark Aviación,Parking Aviación Española,10353.93
Escuela Infantil Pequeño Koala,Instalaciones accesibles NO municipales,Camino Viejo De Vicalvaro 20,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10354.53
Congreso de los Diputados,Instalaciones accesibles NO municipales,Plaza Cortes 1,Bicipark Aviación,Parking Aviación Española,10364.42
Parroquia Santa Eulalia de Mérida,Instalaciones accesibles NO municipales,Calle Pedroches 5,Bicipark Recuerdo,"Calle Hiedra, 26",10373.17
Intercambiador de transporte. Aluche,Instalaciones accesibles NO municipales,Avenida Poblados 41,Bicipark Salamanca,Pl. del Marqués de Salamanca,10377.17
Instituto de Educación Secundaria (IES) Santa Eugenia,Instalaciones accesibles NO municipales,Calle Cerro De Almodovar 5,Bicipark Montalban,"Calle de Montalbán, 5",10377.42
Colegio Stella Maris La Gavia,Instalaciones accesibles NO municipales,Calle Peñaranda De Bracamonte 9,Bicipark Salamanca,Pl. del Marqués de Salamanca,10377.98
Sede QuedaT.com Vicálvaro,Instalaciones accesibles NO municipales,Plaza Juan Benet 9,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10380.68
Museo Nacional Centro de Arte Reina Sofía (MNCARS),Instalaciones accesibles NO municipales,Calle Santa Isabel 52,Bicipark Aviación,Parking Aviación Española,10395.71
La Casa Encendida de la Fundación Montemadrid,Instalaciones accesibles NO municipales,Ronda Valencia 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10401.82
Oficina de Empleo Puerta del Angel,Instalaciones accesibles NO municipales,Glorieta Puente De Segovia 3,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10403.88
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,Bicipark Montalban,"Calle de Montalbán, 5",10405.73
"APFMPS, Residencia, centro de día y centro ocupacional Instituto Doctor Quintero Lumbreras",Instalaciones accesibles NO municipales,Carretera Colmenar Viejo 13.6,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10408.53
Biblioteca Pública Luis Martín Santos (Villa de Vallecas),Instalaciones accesibles NO municipales,Plaza Antonio Maria Segovia 2,Bicipark Almagro,"Calle Almagro, 11",10409.18
Colegio Público Legado Crespo,Instalaciones accesibles NO municipales,Paseo Acacias 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10412.19
Alicia Koplowitz Centro de día y centro residencial de Esclerosis Múltiple de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Bulevar Jose Prat 40,Bicipark Orense,"Avenida General Perón, 27",10412.75
Oficina de Tramitación del DNI y Pasaporte Doce de Octubre,Instalaciones accesibles NO municipales,Calle Doce De Octubre 7,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10416.14
Oficina de Correos. Sucursal 78. Centro Comercial Valdebernardo,Instalaciones accesibles NO municipales,Bulevar Jose Prat 35,Bicipark Orense,"Avenida General Perón, 27",10418.77
Centro de donación de sangre de Cruz Roja Fin de Semana,Instalaciones accesibles NO municipales,Calle Fuencarral 120,Bicipark Aviación,Parking Aviación Española,10422.94
Parroquia Santos Inocentes,Instalaciones accesibles NO municipales,Calle Embajadores 209,Bicipark Aviación,Parking Aviación Española,10423.73
Instituto de Educación Secundaria (IES) San Mateo,Instalaciones accesibles NO municipales,Calle Beneficencia 4,Bicipark Aviación,Parking Aviación Española,10427.66
Oficina de Tramitación de DNI y Pasaporte (Usera-Villaverde 1),Instalaciones accesibles NO municipales,Paseo Gigantes Y Cabezudos 30,Bicipark Aviación,Parking Aviación Española,10428.71
Colegio Mayor África,Instalaciones accesibles NO municipales,Calle Ramiro De Maeztu 2,Bicipark Aviación,Parking Aviación Española,10430.3
Instituto de Educación Secundaria (IES) García Morato,Instalaciones accesibles NO municipales,Calle General Saliquet 34,Bicipark Almagro,"Calle Almagro, 11",10431.19
Cine Cinesa Proyecciones,Instalaciones accesibles NO municipales,Calle Fuencarral 136,Bicipark Aviación,Parking Aviación Española,10445.24
Aparcamiento público de Metro de Madrid. Miguel Hernández,Instalaciones accesibles NO municipales,Avenida Albufera 270,Bicipark Recuerdo,"Calle Hiedra, 26",10449.14
Instituto de Educación Secundaria (IES) Parque Aluche,Instalaciones accesibles NO municipales,Calle Maqueda 86,Bicipark Salamanca,Pl. del Marqués de Salamanca,10450.51
Complejo Deportivo Hockey Somontes de la Comunidad de Madrid,Instalaciones accesibles NO municipales,Carretera El Pardo 41,Bicipark Salamanca,Pl. del Marqués de Salamanca,10457.29
Oficina de Empleo Legazpi,Instalaciones accesibles NO municipales,Paseo Acacias 23,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10459.5
Instituto de Educación Secundaria (IES) Francisco Ayala,Instalaciones accesibles NO municipales,Calle Jacobeo 33,Bicipark Almagro,"Calle Almagro, 11",10460.38
Oficina de Correos. Sucursal 10. Calle Alburquerque,Instalaciones accesibles NO municipales,Calle Alburquerque 2,Bicipark Aviación,Parking Aviación Española,10464.37
Oficina de Correos. Sucursal 20. Calle Alcalde López Casero,Instalaciones accesibles NO municipales,Calle Alcalde Lopez Casero 3,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10466.99
Instituto de Educación Secundaria (IES) Antonio Domínguez Ortiz,Instalaciones accesibles NO municipales,Calle Andaluces 36,Bicipark Recuerdo,"Calle Hiedra, 26",10468.98
Instituto de Educación Secundaria (IES) Parque Aluche,Instalaciones accesibles NO municipales,Calle Maqueda 86,Bicipark Orense,"Avenida General Perón, 27",10469.75
Residencia para mayores y centro de día Peñuelas,Instalaciones accesibles NO municipales,Calle Arganda 11,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10476.68
Colegio Ártica,Instalaciones accesibles NO municipales,Calle Morales 25,Bicipark Almagro,"Calle Almagro, 11",10495.16
Centro de rehabilitación INDANE,Instalaciones accesibles NO municipales,Calle Vallehermoso 100 Planta Baja,Bicipark Aviación,Parking Aviación Española,10495.87
Oficina de Correos. Sucursal 62. Calle La Rioja. Alameda de Osuna,Instalaciones accesibles NO municipales,Calle La Rioja 11,Bicipark Salamanca,Pl. del Marqués de Salamanca,10497.2
Oficina de Correos. Sucursal 50. Avenida Padre Piquer,Instalaciones accesibles NO municipales,Avenida Padre Piquer 13,Bicipark Orense,"Avenida General Perón, 27",10497.43
Colegio Público Fontarrón,Instalaciones accesibles NO municipales,Calle Arroyo Fontarron 24,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10499.6
Colegio Público Pinar de San José,Instalaciones accesibles NO municipales,Calle Patrimonio De La Humanidad 39,Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10520.71
Administración Guzmán el Bueno. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Aviación,Parking Aviación Española,10522.05
Delegación Especial de Madrid. AEAT,Instalaciones accesibles NO municipales,Calle Guzman El Bueno 139,Bicipark Aviación,Parking Aviación Española,10522.05
Colegio Oficial de Arquitectos de Madrid (COAM),Instalaciones accesibles NO municipales,Calle Hortaleza 63,Bicipark Aviación,Parking Aviación Española,10524.48
Colegio Público Isabel la Católica,Instalaciones accesibles NO municipales,Calle Barcelo 2,Bicipark Aviación,Parking Aviación Española,10527.48
Instituto de Educación Secundaria (IES) María Rodrigo,Instalaciones accesibles NO municipales,"Calle Talamanca Del Jarama, Esquina Granja De San Ildefonso",Bicipark Villa de Paris,"Calle de Orellana, 23, 21",10530.33
CaixaForum Madrid,Instalaciones accesibles NO municipales,Paseo Prado 36,Bicipark Aviación,Parking Aviación Española,10531.31
Club Deportivo Somontes,Instalaciones accesibles NO municipales,Carretera El Pardo 43,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10535.49
Biblioteca de la Real Academia de Jurisprudencia y Legislación,Instalaciones accesibles NO municipales,Calle Marques De Cubas 13,Bicipark Aviación,Parking Aviación Española,10541.6
Oficina de Correos. Sucursal 21. Calle Antonio Arias,Instalaciones accesibles NO municipales,Calle Antonio Arias 2,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10544.28
Ministerio de Sanidad. Oficina de información,Instalaciones accesibles NO municipales,Paseo Prado 18 Planta Baja (Esquina Con Calle Lope De Vega) - 20,Bicipark Aviación,Parking Aviación Española,10552.86
Instituto de Educación Secundaria (IES) Barajas,Instalaciones accesibles NO municipales,Avenida America 119,Bicipark Orense,"Avenida General Perón, 27",10559.8
Sede QuedaT.com Usera,Instalaciones accesibles NO municipales,Calle Miramadrid 1,Bicipark Recuerdo,"Calle Hiedra, 26",10562.81
Museo Nacional Thyssen-Bornemisza,Instalaciones accesibles NO municipales,Paseo Prado 8,Bicipark Aviación,Parking Aviación Española,10563.62
Oficina de Correos. Sucursal 56. Calle Carlina,Instalaciones accesibles NO municipales,Calle Carlina 8,Bicipark Pitis,"Calle Pau Arroyo del Fresno, 181",10578.07
Intercambiador de transporte. Aluche,Instalaciones accesibles NO municipales,Avenida Poblados 41,Bicipark Orense,"Avenida General Perón, 27",10578.77
Residencia de Estudiantes Ciudad Escolar. Comunidad de Madrid.,Instalaciones accesibles NO municipales,"Carretera Colmenar Viejo  Km. 12,800",Bicipark Salamanca,Pl. del Marqués de Salamanca,10579.3
Biblioteca Pública Miguel Hernández (Puente de Vallecas),Instalaciones accesibles NO municipales,Avenida Rafael Alberti 36,Bicipark Recuerdo,"Calle Hiedra, 26",10579.3
Museo del Romanticismo,Instalaciones accesibles NO municipales,Calle San Mateo 13,Bicipark Aviación,Parking Aviación Española,10581.5
Aeropuerto Adolfo Suarez Madrid -  Barajas,Instalaciones accesibles NO municipales,Avenida Hispanidad,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10582.26
Intercambiador de transporte. Aeropuerto T1 - T2 - T3,Instalaciones accesibles NO municipales,Avenida Hispanidad 44,Bicipark Fuente de la Mora,Estación de Fuente de la Mora,10582.51
Residencia de Estudiantes Ciudad Escolar. Comunidad de Madrid.,Instalaciones accesibles NO municipales,"Carretera Colmenar Viejo  Km. 12,800",Bicipark Almagro,"Calle Almagro, 11",10584.42
